ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
2826,3019,108,360,0,Male,Yes,2,Not Graduate,No,Urban,Approved
9431,8684,149,12,1,Female,Yes,0,Graduate,No,Semiurban,Not Approved
17823,4463,144,120,1,Female,No,1,Graduate,No,Rural,Approved
17467,9446,139,60,0,Female,No,1,Graduate,Yes,Rural,Approved
13284,4868,266,36,1,Male,Yes,1,Not Graduate,Yes,Urban,Approved
11199,5751,431,360,0,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
4011,299,87,12,1,Female,Yes,0,Graduate,No,Semiurban,Approved
9638,1118,338,120,0,Male,Yes,0,Graduate,Yes,Semiurban,Not Approved
9446,1530,337,12,0,Male,No,3+,Not Graduate,No,Urban,Not Approved
10961,3932,429,60,0,Male,Yes,3+,Graduate,No,Urban,Approved
13930,5102,362,240,1,Male,No,0,Not Graduate,No,Semiurban,Approved
15345,6133,296,36,1,Female,No,3+,Not Graduate,Yes,Urban,Approved
14405,9752,163,36,1,Male,No,1,Graduate,Yes,Urban,Not Approved
5771,6785,474,360,0,Male,No,1,Not Graduate,No,Urban,Approved
18853,4673,353,12,0,Female,No,3+,Not Graduate,Yes,Rural,Not Approved
6094,9679,479,120,0,Female,Yes,3+,Graduate,No,Semiurban,Not Approved
9544,1224,180,36,1,Male,No,2,Graduate,No,Rural,Not Approved
10799,5337,93,120,0,Male,No,0,Not Graduate,No,Rural,Approved
10302,259,233,60,1,Male,No,0,Graduate,No,Rural,Approved
15353,1422,369,120,1,Male,Yes,2,Graduate,No,Rural,Approved
4917,8610,422,240,0,Female,No,2,Graduate,Yes,Urban,Approved
17820,7776,411,240,1,Male,Yes,1,Graduate,No,Semiurban,Not Approved
17571,6543,165,120,0,Female,Yes,3+,Not Graduate,Yes,Rural,Not Approved
12203,713,162,36,1,Female,No,2,Graduate,Yes,Semiurban,Approved
16652,6689,437,120,1,Male,Yes,0,Graduate,Yes,Semiurban,Not Approved
17807,4053,367,360,0,Male,Yes,1,Graduate,Yes,Rural,Approved
16200,9745,485,60,0,Female,Yes,1,Not Graduate,No,Semiurban,Not Approved
3882,7386,126,120,1,Female,Yes,1,Not Graduate,Yes,Rural,Not Approved
2408,9515,484,36,1,Female,No,0,Not Graduate,Yes,Urban,Not Approved
3793,98,267,12,1,Female,No,0,Graduate,Yes,Rural,Approved
12737,6611,226,240,1,Male,Yes,0,Not Graduate,Yes,Urban,Not Approved
11272,688,170,360,0,Male,No,2,Not Graduate,No,Rural,Not Approved
11395,1103,478,360,0,Male,No,1,Graduate,Yes,Semiurban,Approved
16664,5745,154,60,1,Female,Yes,1,Not Graduate,No,Urban,Approved
2406,6465,377,240,0,Female,No,2,Graduate,Yes,Rural,Not Approved
7164,7969,286,60,1,Female,Yes,0,Graduate,No,Rural,Approved
9282,5067,240,360,0,Male,Yes,1,Not Graduate,Yes,Rural,Not Approved
10849,1336,383,60,0,Male,Yes,0,Not Graduate,Yes,Rural,Approved
2008,5527,118,240,0,Female,Yes,1,Not Graduate,Yes,Urban,Not Approved
16387,5238,294,360,1,Male,No,2,Graduate,Yes,Urban,Approved
2327,3659,438,36,0,Female,Yes,1,Graduate,Yes,Rural,Not Approved
2924,5370,59,12,0,Male,No,3+,Not Graduate,Yes,Urban,Approved
7329,4711,483,36,0,Female,No,1,Not Graduate,Yes,Urban,Not Approved
14096,5785,117,240,1,Female,No,3+,Graduate,Yes,Rural,Approved
13168,8758,255,12,0,Female,No,3+,Graduate,No,Semiurban,Approved
19839,6522,52,240,0,Female,No,2,Not Graduate,Yes,Rural,Not Approved
4567,1095,51,120,1,Female,No,3+,Not Graduate,No,Semiurban,Not Approved
19672,1141,124,240,1,Male,Yes,2,Graduate,Yes,Rural,Approved
3178,8565,412,120,1,Male,Yes,1,Not Graduate,Yes,Semiurban,Approved
8076,7013,92,240,0,Male,No,0,Graduate,No,Rural,Not Approved
6830,227,301,60,0,Male,No,1,Graduate,Yes,Urban,Not Approved
3704,8692,104,240,0,Male,No,3+,Graduate,No,Urban,Approved
15510,43,84,120,1,Male,No,1,Graduate,No,Semiurban,Not Approved
15535,1943,494,60,0,Female,No,1,Graduate,No,Semiurban,Approved
7832,1822,341,240,0,Male,No,1,Graduate,Yes,Urban,Approved
11118,5182,400,60,1,Female,No,2,Not Graduate,Yes,Semiurban,Approved
2437,1565,72,240,1,Female,No,0,Not Graduate,Yes,Urban,Not Approved
10598,3811,357,240,0,Female,No,3+,Graduate,Yes,Semiurban,Not Approved
14541,6773,410,60,1,Female,Yes,1,Not Graduate,No,Urban,Not Approved
10404,7016,322,120,1,Female,No,3+,Graduate,Yes,Semiurban,Not Approved
16131,3162,178,12,1,Male,Yes,3+,Graduate,Yes,Rural,Approved
10694,2342,186,60,0,Female,No,0,Graduate,Yes,Semiurban,Approved
9801,4989,100,36,1,Male,No,3+,Not Graduate,No,Semiurban,Not Approved
9720,495,321,120,0,Female,No,3+,Graduate,No,Rural,Not Approved
18486,5918,88,240,1,Female,Yes,2,Not Graduate,No,Urban,Approved
14828,5952,244,36,0,Male,No,2,Not Graduate,No,Semiurban,Approved
16612,3360,180,60,1,Female,No,2,Not Graduate,No,Rural,Approved
16437,9402,265,120,0,Female,No,1,Graduate,Yes,Semiurban,Not Approved
15289,3873,499,36,0,Male,No,2,Graduate,Yes,Rural,Approved
3327,5412,65,120,0,Female,Yes,3+,Not Graduate,No,Urban,Approved
16747,1195,190,60,1,Male,No,1,Graduate,No,Rural,Not Approved
4026,4360,282,12,1,Female,No,3+,Not Graduate,Yes,Semiurban,Approved
18349,661,235,360,1,Female,No,2,Graduate,No,Rural,Not Approved
13638,9909,431,120,0,Female,No,0,Graduate,No,Semiurban,Not Approved
17874,4958,371,360,1,Male,No,0,Graduate,Yes,Rural,Approved
15083,5429,117,12,0,Male,Yes,2,Graduate,Yes,Urban,Approved
9709,9768,364,120,0,Female,No,1,Not Graduate,No,Rural,Not Approved
13224,5833,433,120,0,Female,No,2,Graduate,No,Urban,Not Approved
17979,5215,91,36,1,Female,No,2,Graduate,No,Urban,Approved
6695,1559,463,36,1,Female,Yes,2,Graduate,Yes,Urban,Approved
4927,3892,490,60,0,Male,No,3+,Not Graduate,No,Semiurban,Approved
2823,4393,440,12,0,Male,Yes,0,Graduate,Yes,Urban,Not Approved
17468,3512,72,120,0,Female,Yes,1,Not Graduate,No,Urban,Approved
5684,9666,389,240,0,Male,Yes,2,Graduate,Yes,Urban,Approved
13703,4989,153,360,1,Female,No,2,Graduate,No,Urban,Not Approved
7916,852,250,120,1,Male,Yes,0,Graduate,No,Rural,Approved
5526,3047,233,60,1,Male,Yes,3+,Not Graduate,Yes,Rural,Not Approved
16145,7807,365,12,0,Female,No,3+,Not Graduate,No,Rural,Not Approved
12481,9206,493,240,0,Female,Yes,0,Graduate,Yes,Semiurban,Not Approved
13775,7387,159,360,0,Female,No,0,Graduate,No,Semiurban,Not Approved
13937,9759,230,120,1,Female,No,3+,Not Graduate,Yes,Urban,Approved
10351,6758,494,240,1,Female,Yes,2,Not Graduate,Yes,Rural,Approved
9765,7925,115,60,0,Male,No,2,Graduate,No,Urban,Approved
8151,1201,463,360,1,Female,No,0,Graduate,No,Urban,Not Approved
9450,6753,174,12,0,Male,No,1,Not Graduate,No,Rural,Approved
15016,5965,479,12,0,Female,Yes,2,Graduate,No,Semiurban,Not Approved
19821,5233,297,360,0,Female,Yes,1,Not Graduate,No,Urban,Not Approved
15293,2156,196,360,0,Male,Yes,1,Graduate,No,Urban,Not Approved
8801,6693,360,360,0,Male,No,3+,Not Graduate,Yes,Semiurban,Approved
12046,605,453,360,1,Male,No,0,Not Graduate,Yes,Urban,Not Approved
16415,2230,373,12,0,Female,Yes,1,Graduate,No,Rural,Not Approved
3426,1125,153,360,0,Male,No,1,Not Graduate,Yes,Rural,Not Approved
17888,4262,263,12,0,Male,No,2,Graduate,No,Semiurban,Not Approved
16550,7060,85,240,0,Female,Yes,1,Not Graduate,Yes,Urban,Not Approved
19787,1529,120,36,0,Female,No,0,Graduate,Yes,Urban,Approved
10845,1312,400,120,0,Male,Yes,0,Not Graduate,No,Semiurban,Approved
7217,3803,173,36,0,Male,No,1,Graduate,Yes,Urban,Not Approved
8450,1792,468,120,1,Male,No,2,Not Graduate,Yes,Semiurban,Not Approved
2189,6755,329,12,1,Female,No,3+,Not Graduate,No,Rural,Not Approved
3542,4107,116,12,1,Male,No,0,Graduate,Yes,Semiurban,Approved
15117,3203,465,12,0,Female,No,0,Not Graduate,No,Rural,Not Approved
16083,3954,135,60,0,Male,Yes,0,Not Graduate,No,Urban,Approved
3872,8359,224,360,0,Male,No,3+,Graduate,No,Semiurban,Not Approved
19289,8030,352,360,0,Male,No,3+,Not Graduate,No,Rural,Approved
15795,2200,232,240,1,Male,No,0,Graduate,No,Semiurban,Not Approved
10157,8256,300,12,0,Male,Yes,3+,Not Graduate,No,Urban,Not Approved
18430,740,228,360,0,Female,Yes,2,Graduate,No,Rural,Approved
16282,7360,414,60,1,Female,Yes,3+,Graduate,No,Rural,Not Approved
17196,7027,388,360,1,Male,No,0,Not Graduate,Yes,Urban,Approved
3651,1099,365,12,0,Female,Yes,2,Not Graduate,Yes,Urban,Approved
11531,7128,368,12,1,Male,Yes,0,Graduate,No,Urban,Approved
3199,9992,323,60,1,Female,No,3+,Graduate,Yes,Rural,Approved
19157,6094,476,60,1,Female,No,0,Not Graduate,No,Semiurban,Approved
14262,4758,187,12,0,Female,No,3+,Not Graduate,Yes,Rural,Not Approved
